No. 	Specimen Name 	Comments 	Diameter 	Cross Section 	Cover to Ctr of Hoop Bar 	Length 	Lsplice 	f'c 	# Longitudinal Bars 	Diameter Long Bars 	fy Long Bars 	fsu Long Bars 	rho Long 	Hoop Spacing, sv 	Diameter, Spiral 	fy, Spiral 	rho Spiral 	Configuration 	P 	P-D 	Failure Type 	Lmeasured 	Lbeam 	Lbottom 
266	Potangaroa et al. 1979, No. 5B	5a tested again under increased axial load	600	O	28	1,200	0	32.5	16	24	307	414	0.0243	55	16	280	2.61	DE	6,770	2	1	1,200	0	0
267	Ang et al. 1985, No. 1	Flexible base, axial load=0	400	C	18	800	0	37.5	20	16	436	674	0.032	60	6	328	0.51	CFB	0	2	3	800	1,905	0
268	Ang et al. 1985, No. 2	Flexible base, axial load=0	400	C	18	800	0	37.2	20	16	296	457	0.032	60	6	328	0.51	CFB	0	2	3	800	1,905	0
269	Ang et al. 1985, No. 3	Flexible base, axial load=0	400	C	18	1,000	0	36	20	16	436	674	0.032	60	6	328	0.51	CFB	0	2	3	1,000	1,905	0
270	Ang et al. 1985, No. 4	Flexible base, axial load=0	400	C	20	800	0	30.6	20	16	436	674	0.032	165	10	316	0.51	CFB	0	2	2	800	1,905	0
271	Ang et al. 1985, No. 5	Flexible base, axial load=0	400	C	18	800	0	31.1	20	16	436	674	0.032	40	6	328	0.76	CFB	0	2	3	800	1,905	0
272	Ang et al. 1985, No. 6	Flexible base, axial load=0	400	C	18	600	0	30.1	20	16	436	674	0.032	60	6	328	0.51	CFB	0	2	2	600	1,905	0
273	Ang et al. 1985, No. 7	Flexible base, axial load=0	400	C	18	800	0	29.5	20	16	448	693	0.032	80	6	372	0.38	CFB	0	2	2	800	1,905	0
274	Ang et al. 1985, No. 8	Flexible base	400	C	18	800	0	28.7	20	16	448	693	0.032	30	6	372	1.02	CFB	721	2	3	800	1,905	0
275	Ang et al. 1985, No. 9	Flexible base	400	C	18	1,000	0	29.9	20	16	448	693	0.032	30	6	372	1.02	CFB	751	2	1	1,000	1,905	0
276	Ang et al. 1985, No. 10	Flexible base	400	C	21	800	0	31.2	20	16	448	693	0.032	120	12	332	1.02	CFB	784	2	3	800	1,905	0
277	Ang et al. 1985, No. 11	Flexible base	400	C	18	800	0	29.9	20	16	448	693	0.032	60	6	372	0.51	CFB	751	2	3	800	1,905	0
278	Ang et al. 1985, No. 12	Flexible base, axial load lowered after m=1.5	400	C	18	600	0	28.6	20	16	436	674	0.032	30	6	328	1.02	CFB	359	2	3	600	1,905	0
279	Ang et al. 1985, No. 13	Flexible base	400	C	18	800	0	36.2	20	16	436	679	0.032	30	6	326	1.02	CFB	455	2	3	800	1,905	0
280	Ang et al. 1985, No. 14	Flexible base,axial load=0	400	C	18	800	0	33.7	9	24	424	671	0.0324	60	6	326	0.51	CFB	0	2	3	800	1,905	0
281	Ang et al. 1985, No. 15	Flexible base,axial load=0	400	C	18	800	0	34.8	12	16	436	679	0.0192	60	6	326	0.51	CFB	0	2	3	800	1,905	0
282	Ang et al. 1985, No. 16	Flexible base	400	C	18	800	0	33.4	20	16	436	679	0.032	60	6	326	0.51	CFB	420	2	2	800	1,905	0
283	Ang et al. 1985, No. 17	Flexible base	400	C	18	1,000	0	34.3	20	16	436	679	0.032	60	6	326	0.51	CFB	431	2	3	1,000	1,905	0
284	Ang et al. 1985, No. 18	Flexible base	400	C	18	600	0	35	20	16	436	674	0.032	60	6	326	0.51	CFB	440	2	2	600	1,905	0
285	Ang et al. 1985, No. 19	Flexible base	400	C	18	600	0	34.4	20	16	436	679	0.032	80	6	326	0.38	CFB	432	2	2	600	1,905	0
286	Ang et al. 1985, No. 20	Flexible base	400	C	18	700	0	36.7	20	16	482	758	0.032	80	6	326	0.38	CFB	807	2	2	700	1,905	0
287	Ang et al. 1985, No. 21	Flexible base,loaded monotonically up to m=6,axial load=0	400	C	18	800	0	33.2	20	16	436	679	0.032	80	6	326	0.38	CFB	0	2	2	800	1,905	0
288	Ang et al. 1985, No. 22	Flexible base, axial load=0	400	C	20	800	0	30.9	20	16	436	679	0.032	220	10	310	0.39	CFB	0	2	2	800	1,905	0
289	Ang et al. 1985, No. 23	Flexible base, axial load=0	400	C	21	800	0	32.3	20	16	436	679	0.032	160	12	332	0.76	CFB	0	2	3	800	1,905	0
290	Ang et al. 1985, No. 24	Flexible base, axial load=0	400	C	20	800	0	33.1	20	16	436	679	0.032	110	10	310	0.77	CFB	0	2	3	800	1,905	0
291	Ang et al. 1985, No. 25	Flexible base, axial load=0, no spiral reinf.	400	C	0	600	0	32.8	20	16	296	457	0.032	0	0	0	0	CFB	0	2	2	600	1,905	0
292	Zahn et al. 1986, No. 5	f'c not reported for test day. 28-day strength reported?	400	O	18	1,600	0	32.3	16	16	337	491	0.0243	135	10	466	0.62	DE	555	2	1	1,600	0	0
293	Zahn et al. 1986, No. 6	f'c not reported for test day. 28-day strength reported?	400	O	18	1,600	0	27	16	16	337	491	0.0243	75	10	466	1.12	DE	2,080	2	1	1,600	0	0
294	Watson and Park 1989, No 10		400	O	17	1,600	0	40	12	16	474	633.3	0.0182	84	8	372	0.64	DE	2,652	2	1	1,600	0	0
295	Watson and Park 1989, No 11		400	O	18	1,600	0	39	12	16	474	633.3	0.0182	57	10	338	1.47	DE	3,620	2	1	1,600	0	0
296	Wong et al. 1990, No. 1	Axial load reduced after failure	400	C	20	800	0	38	20	16	423	577	0.032	60	10	300	1.42	C	907	2	1	800	0	0
297	Wong et al. 1990, No. 2	Axial load reduced after failure	400	C	18	800	0	37	20	16	475	625	0.032	65	6	340	0.47	C	1,813	2	3	800	0	0
298	Wong et al. 1990, No. 3		400	C	20	800	0	37	20	16	475	625	0.032	60	10	300	1.42	C	1,813	2	1	800	0	0
299	Petrovski and Ristic 1984, M1E1		307	C	36	1,910	0	38.8	12	12	240	0	0.0183	75	6	240	0.63	C	145	-	1	1,910	0	0
300	Petrovsky and Ristic 1984, M1E2		307	C	36	1,910	0	36.2	12	12	240	0	0.0183	75	6	240	0.63	C	254	-	1	1,910	0	0
301	Petrovsky and Ristic 1984, M2E1		307	C	36	900	0	35.9	12	12	240	0	0.0183	75	6	240	0.63	C	145	-	3	900	0	0
302	Petrovsky and Ristic 1984, M2E2		307	C	36	895	0	34.4	12	12	240	0	0.0183	75	6	240	0.63	C	254	-	3	895	0	0
303	Lim et al. 1990, Con1		152	C	10.2	1,140	0	34.5	8	12.7	448	0	0.0558	22	3.7	620	1.45	C	151	1	1	1,140	0	0
304	Lim et al. 1990, Con2		152	C	10.2	570	0	34.5	8	12.7	448	0	0.0558	22	3.7	620	1.45	C	151	1	1	570	0	0
305	Lim et al. 1990, Con3		152	C	10.2	570	0	34.5	8	12.7	448	0	0.0558	22	3.7	620	1.45	C	220	1	1	570	0	0
306	NIST, Full Scale Flexure		1,520	C	58.7	9,140	0	35.8	25	43	475	0	0.02	89	15.9	493	0.63	C	4,450	2	1	9,140	0	0
307	NIST, Full Scale Shear		1,520	C	60.3	4,570	0	34.3	25	43	475	0	0.02	54	19.1	435	1.49	C	4,450	2	1	4,570	0	0
308	NIST, Model N1		250	C	9.9	750	0	24.1	25	7	446	0	0.0196	9	3.1	441	1.41	C	120	2	1	750	0	0
309	NIST, Model N2		250	C	9.9	750	0	23.1	25	7	446	0	0.0196	9	3.1	441	1.41	C	239	2	1	750	0	0
310	NIST, Model N3		250	C	9.7	1,500	0	25.4	25	7	446	0	0.0196	14	2.7	476	0.68	C	120	2	1	1,500	0	0
311	NIST, Model N4		250	C	9.9	750	0	24.4	25	7	446	0	0.0196	9	3.1	441	1.41	C	120	2	1	750	0	0
312	NIST, Model N5		250	C	9.9	750	0	24.3	25	7	446	0	0.0196	9	3.1	441	1.41	C	239	2	1	750	0	0
313	NIST, Model N6		250	C	9.7	1,500	0	23.3	25	7	446	0	0.0196	14	2.7	476	0.68	C	120	2	1	1,500	0	0
314	BRI No. 2 (Japan), spbaa1	Possible joint rotation, confined with welded wire hoops, square	250	S	40	375	0	26.5	4	9.6	399	0	0.0046	50	8.9	355	2.84	DC	184	2	1	375	0	0
315	BRI No. 3 (Japan), ws21bs	square cross-section, L/D = 1	250	S	40	250	0	26.5	8	9.5	375	0	0.0091	33	8.9	334.5	4.27	DC	322	2	3	250	0	0
316	BRI No. 3 (Japan), ws22bs	square cross-section	250	S	38	500	0	31.6	8	9.5	375	0	0.0091	63	5.9	366	1.01	DC	322	2	1	500	0	0
317	BRI No. 3 (Japan), ws25bs	square cross-section, L/D = 1	250	S	40	250	0	26.5	8	12.7	382	0	0.0162	46	8.9	334.5	3.12	DC	161	2	3	250	0	0
318	BRI No. 3 (Japan), ws26bs	square cross-section	250	S	37	500	0	31.6	8	12.7	382	0	0.0162	37	3.9	386.5	0.75	DC	161	2	3	500	0	0
319	BRI No. 3 (Japan), ws27bs	square cross-section	250	S	40	500	0	31.6	8	15.9	345	0	0.0254	42	8.9	334.5	3.41	DC	322	2	1	500	0	0
320	Arakawa et al. 1987, No. 1	axial load=0	275	O	20	300	0	28.8	12	16	366	0	0.0385	100	6	368	0.47	DC	0	1	2	300	0	0
321	Arakawa et al. 1987, No. 2	axial load=0	275	O	20	300	0	29.3	12	16	366	0	0.0385	50	6	368	0.94	DC	0	1	2	300	0	0
322	Arakawa et al. 1987, No. 3	no spiral reinforcement	275	O	23	300	0	28.6	12	16	366	0	0.0385	0	0	0	0	DC	215	1	2	300	0	0
323	Arakawa et al. 1987, No. 4		275	O	20	300	0	29.8	12	16	366	0	0.0385	100	6	368	0.47	DC	215	1	2	300	0	0
324	Arakawa et al. 1987, No. 6		275	O	20	300	0	28.6	12	16	366	0	0.0385	50	6	368	0.94	DC	215	1	2	300	0	0
325	Arakawa et al. 1987, No. 8		275	O	20	300	0	31.4	12	16	366	0	0.0385	35	6	368	1.34	DC	215	1	2	300	0	0
326	Arakawa et al. 1987, No. 9		275	O	20	300	0	30.5	16	16	366	0	0.0513	50	6	368	0.94	DC	215	1	2	300	0	0
327	Arakawa et al. 1987, No. 10		275	O	20	300	0	30.2	8	16	366	0	0.0257	50	6	368	0.94	DC	215	1	3	300	0	0
328	Arakawa et al. 1987, No. 11	no spiral reinforcement	275	O	23	300	0	28.7	12	16	366	0	0.0385	0	0	0	0	DC	430	1	2	300	0	0
329	Arakawa et al. 1987, No. 12		275	O	20	300	0	27.8	12	16	366	0	0.0385	100	6	368	0.47	DC	430	1	2	300	0	0
330	Arakawa et al. 1987, No. 13		275	O	20	300	0	30.5	12	16	366	0	0.0385	50	6	368	0.94	DC	430	1	2	300	0	0
331	Arakawa et al. 1987, No. 14		275	O	20	300	0	31.3	12	16	366	0	0.0385	35	6	368	1.34	DC	430	1	2	300	0	0
332	Arakawa et al. 1988, No. 15	axial load=0	275	O	20	450	0	32	12	16	363	0	0.0385	75	6	381	0.63	DC	0	1	3	450	0	0
333	Arakawa et al. 1988, No. 16	axial load=0	275	O	20	450	0	31.3	12	16	363	0	0.0385	35	6	381	1.34	DC	0	1	1	450	0	0
334	Arakawa et al. 1988, No. 17		275	O	20	300	0	31.3	12	16	363	0	0.0385	75	6	381	0.63	DC	215	1	2	300	0	0
335	Arakawa et al. 1988, No. 18	no spiral reinforcement	275	O	23	450	0	31.1	12	16	363	0	0.0385	0	0	0	0	DC	215	1	2	450	0	0
336	Arakawa et al. 1988, No. 19		275	O	20	450	0	31.2	12	16	363	0	0.0385	75	6	381	0.63	DC	215	1	2	450	0	0
337	Arakawa et al. 1988, No. 20		275	O	20	450	0	29.3	12	16	363	0	0.0385	35	6	381	1.34	DC	215	1	1	450	0	0
338	Arakawa et al. 1988, No. 21		275	O	20	600	0	30.5	12	16	363	0	0.0385	75	6	381	0.63	DC	215	1	1	600	0	0
339	Arakawa et al. 1988, No. 22		275	O	20	450	0	20.5	12	16	363	0	0.0385	75	6	381	0.63	DC	215	1	2	450	0	0
340	Arakawa et al. 1988, No. 23		275	O	20	450	0	42.2	12	16	363	0	0.0385	75	6	381	0.63	DC	215	1	3	450	0	0
341	Arakawa et al. 1988, No. 24		275	O	20	300	0	31.1	12	16	363	0	0.0385	75	6	381	0.63	DC	430	1	2	300	0	0
342	Arakawa et al. 1988, No. 25		275	O	20	450	0	29.7	12	16	363	0	0.0385	75	6	381	0.63	DC	430	1	2	450	0	0
343	Arakawa et al. 1988, No. 26		275	O	20	600	0	30.9	12	16	363	0	0.0385	75	6	381	0.63	DC	430	1	1	600	0	0
344	Arakawa et al. 1988, No. 27		275	O	20	450	0	18.9	12	16	363	0	0.0385	75	6	381	0.63	DC	430	1	2	450	0	0
345	Arakawa et al. 1988, No. 28		275	O	20	450	0	41.3	12	16	363	0	0.0385	75	6	381	0.63	DC	430	1	2	450	0	0
346	Kunnath et al. 1997, A2		305	C	14.5	1,372	0	29	21	9.5	448	690	0.0204	19	4	434	0.94	C	200	2	1	1,372	0	0
347	Kunnath et al. 1997, A3		305	C	14.5	1,372	0	29	21	9.5	448	690	0.0204	19	4	434	0.94	C	200	2	1	1,372	0	0
348	Kunnath et al. 1997, A4		305	C	14.5	1,372	0	35.5	21	9.5	448	690	0.0204	19	4	434	0.94	C	222	2	1	1,372	0	0
349	Kunnath et al. 1997, A5		305	C	14.5	1,372	0	35.5	21	9.5	448	690	0.0204	19	4	434	0.94	C	222	2	1	1,372	0	0
350	Kunnath et al. 1997, A6		305	C	14.5	1,372	0	35.5	21	9.5	448	690	0.0204	19	4	434	0.94	C	222	2	1	1,372	0	0
351	Kunnath et al. 1997, A7		305	C	14.5	1,372	0	32.8	21	9.5	448	690	0.0204	19	4	434	0.94	C	222	2	1	1,372	0	0
352	Kunnath et al. 1997, A8		305	C	14.5	1,372	0	32.8	21	9.5	448	690	0.0204	19	4	434	0.94	C	222	2	1	1,372	0	0
353	Kunnath et al. 1997, A9		305	C	14.5	1,372	0	32.5	21	9.5	448	690	0.0204	19	4	434	0.94	C	222	2	1	1,372	0	0
354	Kunnath et al. 1997, A10		305	C	14.5	1,372	0	27	21	9.5	448	690	0.0204	19	4	434	0.94	C	200	2	1	1,372	0	0
355	Kunnath et al. 1997, A11		305	C	14.5	1,372	0	27	21	9.5	448	690	0.0204	19	4	434	0.94	C	200	2	1	1,372	0	0
356	Kunnath et al. 1997, A12		305	C	14.5	1,372	0	27	21	9.5	448	690	0.0204	19	4	434	0.94	C	200	2	1	1,372	0	0
357	Benzoni and Priestley 1994, NR1		610	C	15.9	914.5	0	30	12	12.7	462	0	0.0052	76.2	6.4	361	0.28	C	503	1	3	914.5	0	0
358	Benzoni and Priestley 1994, NR2		610	C	15.9	914.5	0	30	24	12.7	462	0	0.0104	127	6.4	361	0.17	C	503	1	3	914.5	0	0
359	Hose et al., 1997, SRPH1		610	C	27.8	3,660	0	41.1	20	22.2	455	746	0.0266	57	9.5	414	0.89	C	1,780	1	1	3,660	0	0
360	Vu et al. 1998, NH1		457	C	24.8	910	0	38.3	20	15.9	427.5	0	0.0241	60	9.5	430.2	1.14	DC	1,928	1	1	910	0	0
361	Vu et al. 1998, NH2		457	C	24.8	910	0	39.2	20	15.9	427.5	0	0.0241	60	9.5	430.2	1.14	DC	-634	1	3	910	0	0
362	Vu et al. 1998, NH3		457	C	24.8	910	0	39.4	20	15.9	427.5	0	0.0241	60	9.5	430.2	1.14	DC	970	1	1	910	0	0
363	Vu et al. 1998, NH4		457	C	26.4	910	0	35	30	19	468.2	0	0.0521	45	12.7	434.4	2.7	DC	850	1	3	910	0	0
364	Vu et al. 1998, NH5		457	C	24.8	910	0	35.2	20	15.9	507.5	0	0.0241	80	9.5	448.2	0.85	DC	-490	1	3	910	0	0
365	Vu et al. 1998, NH6		457	C	26.4	910	0	35	30	19	486.2	0	0.0521	40	12.7	434.4	3.04	DC	1,914	1	1	910	0	0
366	Kowalsky et al. 1996, FL1	lightweight concrete	457	C	30.2	3,656	0	36.6	30	15.9	477	0	0.0362	76	9.5	445	0.92	C	1,780	1	1	3,656	0	0
367	Kowalsky et al. 1996, FL2	lightweight concrete	457	C	30.2	3,656	0	40	30	15.9	477	0	0.0362	51	6.4	437	0.6	C	1,780	1	1	3,656	0	0
368	Kowalsky et al. 1996, FL3	normal-weight concrete	457	C	30.2	3,656	0	38.6	30	15.9	477	0	0.0362	76	9.5	445	0.92	C	1,780	1	1	3,656	0	0
369	Lehman et al. 1998, 415		609.6	C	22.2	2,438.4	0	31	22	15.9	462	630	0.0149	31.8	6.4	606.8	0.7	C	653.86	3	1	2,438.4	0	450
370	Lehman et al. 1998, 815		609.6	C	22.2	4,876.8	0	31	22	15.9	462	630	0.0149	31.8	6.4	606.8	0.7	C	653.86	3	1	4,876.8	0	450
371	Lehman et al. 1998, 1015		609.6	C	22.2	6,096	0	31	22	15.9	462	630	0.0149	31.8	6.4	606.8	0.7	C	653.86	3	1	6,096	0	450
372	Lehman et al. 1998, 407		609.6	C	22.2	2,438.4	0	31	11	15.9	462	630	0.0075	31.8	6.4	606.8	0.7	C	653.86	3	1	2,438.4	0	450
373	Lehman et al. 1998, 430	Longitudinal bars were bundled in two layers	609.6	C	22.2	2,438.4	0	31	44	15.9	462	630	0.0298	31.8	6.4	606.8	0.7	C	653.86	3	1	2,438.4	0	450
374	Calderone et al. 2000, 328		609.6	C	28.6	1,828.8	0	34.5	28	19	441.3	602	0.0273	25.4	6.4	606.8	0.89	C	911.84	3	1	1,828.8	0	450
375	Calderone et al. 2000, 828	0.9% hoop steel provided up to 3 feet from base.	609.6	C	28.6	4,876.8	0	34.5	28	19	441.3	602	0.0273	25.4	6.4	606.8	0.89	C	911.84	3	1	4,876.8	0	450
376	Calderone et al. 2000, 1028	0.9% hoop steel provided up to 4 feet from base.	609.6	C	28.6	6,096	0	34.5	28	19	441.3	602	0.0273	25.4	6.4	606.8	0.89	C	911.84	3	1	6,096	0	450
377	Sritharan et al. 1995, IC1		600	C	30.2	1,800	0	31.4	14	22.2	448	739	0.0192	97	9.5	431	0.54	C	400	1	1	1,800	0	0
378	Sritharan et al. 1995, B105IC2		600	C	30.2	1,800	0	34.6	14	22.2	448	739	0.0192	97	9.5	431	0.54	C	400	1	1	1,800	0	0
379	Sritharan et al. 1995, IC3		600	C	30.2	1,800	0	33	14	22.2	461	775	0.0192	64	9.5	434	0.81	C	400	1	1	1,800	0	0
380	Saatcioglu and Baingo 1999, RC1		250	C	13.8	1,645	0	65	8	16	419	0	0.0328	50	7.5	1,000	1.54	C	1,000	3	1	1,645	0	600
381	Saatcioglu and Baingo 1999, RC2		250	C	15.6	1,645	0	65	8	16	419	0	0.0328	50	11.3	420	3.49	C	1,000	3	1	1,645	0	600
382	Saatcioglu and Baingo 1999, RC3		250	C	13.8	1,645	0	90	8	16	419	0	0.0328	50	7.5	1,000	1.54	C	1,850	3	1	1,645	0	600
383	Saatcioglu and Baingo 1999, RC4		250	C	14	1,645	0	90	8	16	419	0	0.0328	50	8	580	1.75	C	1,850	3	1	1,645	0	600
384	Saatcioglu and Baingo 1999, RC6		250	C	15.6	1,645	0	90	8	16	419	0	0.0328	100	11.3	420	1.74	C	1,850	3	1	1,645	0	600
385	Saatcioglu and Baingo 1999, RC7		250	C	13.8	1,645	0	90	8	16	419	0	0.0328	50	7.5	1,000	1.54	C	925	3	1	1,645	0	600
386	Saatcioglu and Baingo 1999, RC8	Column confined with individual circular hoops	250	C	13.8	1,645	0	90	8	16	419	0	0.0328	50	7.5	1,000	1.54	C	1,850	3	1	1,645	0	600
387	Saatcioglu and Baingo 1999, RC9	Specimen had no cover to longitudinal reinforcement	250	C	13.8	1,645	0	90	8	16	419	0	0.0328	50	11.3	420	3.43	C	1,850	3	1	1,645	0	600
388	Nelson and Price 2000, Col1	Axial load varies	508	C	21.3	1,524	0	56.2	10	16	455	723.5	0.0099	102	4.5	455	0.13	C	1,450	3	1	1,524	0	609.6
389	Nelson and Price 2000, Col2		508	C	21.3	1,524	0	56.3	10	16	455	723.5	0.0099	102	4.5	455	0.13	C	1,243	3	1	1,524	0	609.6
390	Nelson and Price 2000, Col3		508	C	21.3	1,524	0	57	10	16	455	723.5	0.0099	102	4.5	455	0.13	C	1,139	3	1	1,524	0	609.6
391	Nelson and Price 2000, Col4		508	C	21.3	1,524	0	52.7	10	16	455	723.5	0.0099	102	4.5	455	0.13	C	1,139	3	1	1,524	0	609.6
392	Henry 1998, 415p		609.6	C	22.2	2,438.4	0	37.2	22	15.9	462	0	0.0149	31.8	6.4	606.8	0.7	C	1,308	3	1	2,438.4	0	450
393	Henry 1998, 415s		609.6	C	22.2	2,438.4	0	37.2	22	15.9	462	0	0.0149	63.5	6.4	606.8	0.35	C	654	3	1	2,438.4	0	450
394	Chai, Priestley, and Seible 1991, Test 3	Retrofitted columns were tested also. Unknown concrete cover	609.6	C	20	3,657	0	32.6	26	19	315.1	497.8	0.0254	127	6.4	351.6	0.17	C	1,779	3	1	3,657	0	480
395	Soderstrom 2001,C1	fy not measured for spiral. Assumed to be 60 ksi.	419	O	55.6	1,968.5	0	60.6	8	22.2	429.5	717	0.0213	50.8	9.5	413.7	1.77	C	0	2	1	1,968.5	0	180
396	Soderstrom 2001,C2	fy not measured for spiral. Assumed to be 60 ksi.	419	O	55.6	1,968.5	0	62.6	8	22.2	429.5	717	0.0213	50.8	9.5	413.7	1.77	C	0	2	1	1,968.5	0	180
397	Soderstrom 2001,C3	PSC pile-wharf connection. fy not measured for spiral.	419	O	55.8	1,968.5	0	69.6	8	22.2	429.5	717	0.0213	50.8	10	413.7	1.93	C	0	2	1	1,968.5	0	180
398	Soderstrom 2001,C4	PSC pile-wharf connection. fy not measured for spiral.	419	O	55.8	1,968.5	0	69.6	8	22.2	429.5	717	0.0213	50.8	10	413.7	1.93	C	987.5	2	1	1,968.5	0	180
399	Graff, 2001,C5	PSC pile-wharf connection. fy not measured for spiral.	419	O	55.8	1,968.5	0	69.6	8	22.2	491.6	820.5	0.0213	50.8	10	413.7	1.93	C	987.5	2	1	1,968.5	0	180
400	Graff, 2001,C6	PSC pile-wharf connection. fy not measured for spiral.	419	O	55.8	1,968.5	0	69.6	8	22.2	506	710.2	0.0213	50.8	10	413.7	1.93	C	987.5	2	1	1,968.5	0	180
401	Graff, 2001,C7	PSC pile-wharf connection. fy not measured for spiral.	419	O	55.8	1,968.5	0	69.6	8	22.2	506	710.2	0.0213	50.8	10	413.7	1.93	C	987.5	2	1	1,968.5	0	180
402	Graff, 2001,C8	PSC pile-wharf connection. fy not measured for spiral.	419	O	55.8	1,968.5	0	69.6	8	22.2	491.6	820.5	0.0213	50.8	10	413.7	1.93	C	987.5	2	1	1,968.5	0	180
403	Kowalsky and Moyer, 2001, 1		457.2	O	12.7	2,438.4	0	32.7	12	19	565.4	696.4	0.0198	76.2	9.5	434.4	0.92	C	231.3	1	1	2,438.4	0	0
404	Kowalsky and Moyer, 2001, 2		457.2	O	12.7	2,438.4	0	34.2	12	19	565.4	696.4	0.0198	76.2	9.5	434.4	0.92	C	231.3	1	1	2,438.4	0	0
405	Kowalsky and Moyer, 2001, 3		457.2	O	12.7	2,438.4	0	31.7	12	19	565.4	696.4	0.0198	76.2	9.5	434.4	0.92	C	231.3	1	1	2,438.4	0	0
406	Kowalsky and Moyer, 2001, 4		457.2	O	12.7	2,438.4	0	33.9	12	19	565.4	696.4	0.0198	76.2	9.5	434.4	0.92	C	231.3	1	1	2,438.4	0	0
407	Coffman et al. 1993, Column 1	Column No. 1 was a spliced, reference column.	457.2	C	38.1	2,863.9	660.4	22	9	19	379	0	0.0156	305	9.5	379	0.24	C	700	3	1	2,863.9	0	127
408	Hamilton, 2002, UCI1	Cross-section D	406.4	C	15	1,854.2	0	36.5	12	12.7	458.5	646	0.0117	31.8	4.5	691.5	0.53	C	0	1	1	1,854.2	0	419.1
409	Hamilton, 2002, UCI2	Cross-section D	406.4	C	15	1,854.2	0	36.5	12	12.7	458.5	646	0.0117	31.8	4.5	691.5	0.53	C	0	1	1	1,854.2	0	419.1
410	Hamilton, 2002, UCI3	Cross-section B, Monotonic	406.4	C	10.4	1,047.8	0	34.7	14	12.7	458.5	646	0.0137	171.4	4.5	691.5	0.1	C	0	1	3	1,047.8	0	482.6
411	Hamilton, 2002, UCI4	Cross-section B	406.4	C	10.4	1,047.8	0	34.7	14	12.7	458.5	646	0.0137	171.4	4.5	691.5	0.1	C	0	1	3	1,047.8	0	482.6
412	Hamilton, 2002, UCI5	Cross-section SD	406.4	C	10.4	1,047.8	0	35.4	12	12.7	458.5	646	0.0117	63.5	4.5	691.5	0.26	C	0	1	3	1,047.8	0	482.6
413	Hamilton, 2002, UCI6	Cross-section D	406.4	C	15	1,854.2	0	35.6	12	12.7	458.5	646	0.0117	31.8	4.5	691.5	0.53	C	0	1	1	1,854.2	0	419.1
414	McDaniel, 1997, S1	curvature instrumentation added additional ductility to column	609.6	C	18.6	1,219.2	0	29.8	20	15.9	454	729.6	0.0136	101.6	4.9	200	0.13	C	18.8	2	2	1,219.2	0	457.2
415	McDaniel, 1997, S1-2		609.6	C	18.6	1,219.2	0	26.8	20	15.9	454	729.6	0.0136	101.6	4.9	200	0.13	C	18.8	2	2	1,219.2	0	457.2
416	McDaniel, 1997, S2		609.6	C	18.6	1,219.2	0	31.2	20	15.9	437.6	688	0.0136	101.6	4.9	200	0.13	C	18.8	2	2	1,219.2	0	457.2

